record_id,molecule,molecular_formula,outer_fold
HC-0003,Bicyclohexyl,C12H22,1
HC-0005,Pinane,C10H18,1
HC-0006,Sabinene,C10H16,3
HC-0008,"2,2,4-Trimethylpentane",C8H18,4
HC-0009,"2,2,5-Trimethylhexane",C9H20,1
HC-0010,"2,2-Dimethylbutane",C6H14,4
HC-0011,"2,3-Dimethylbutane",C6H14,4
HC-0012,"2,4-Dimethylhexane",C8H18,4
HC-0013,"2,4-Dimethylpentane",C7H16,3
HC-0014,2-Methylheptane,C8H18,4
HC-0015,2-Methylhexane,C7H16,3
HC-0016,2-Methylnonane,C10H22,2
HC-0017,2-Methylpentane,C6H14,4
HC-0018,3-Methylheptane,C8H18,4
HC-0019,3-Methylhexane,C7H16,3
HC-0020,3-Methylpentane,C6H14,4
HC-0021,"2,3,6-trimethyloctane",C11H24,1
HC-0023,Dodecane,C12H26,4
HC-0024,Eicosane,C20H42,2
HC-0025,Heptadecane,C17H36,4
HC-0026,Heptane,C7H16,3
HC-0027,Hexadecane,C16H34,5
HC-0028,Hexane,C6H14,4
HC-0029,Nonadecane,C19H40,5
HC-0030,Nonane,C9H20,1
HC-0031,Octadecane,C18H38,2
HC-0032,Octane,C8H18,4
HC-0033,Pentadecane,C15H32,5
HC-0034,"2,4-dimethylnonane",C11H24,1
HC-0035,Tetradecane,C14H30,5
HC-0036,Tridecane,C13H28,2
HC-0037,Undecane,C11H24,1
HC-0038,Butylcyclohexane,C10H20,2
HC-0039,Cycloheptane,C7H14,4
HC-0040,Cyclohexane,C6H12,2
HC-0041,Cyclooctane,C8H16,5
HC-0042,Cyclopentane,C5H10,1
HC-0043,Decylcyclohexane,C16H32,1
HC-0044,Dodecylcyclohexane,C18H36,3
HC-0045,Ethylcyclohexane,C8H16,5
HC-0046,Ethylcyclopentane,C7H14,4
HC-0047,Heptylcyclohexane,C13H26,1
HC-0049,Methylcyclohexane,C7H14,4
HC-0050,Methylcyclopentane,C6H12,2
HC-0051,Octylcyclohexane,C14H28,3
HC-0052,Propylcyclohexane,C9H18,5
HC-0054,"1,2,4-Trimethylbenzene",C9H12,5
HC-0055,"1,4-Diethylbenzene",C10H14,5
HC-0056,1-Ethyl-2-Methylbenzene,C9H12,5
HC-0057,1-Ethyl-4-Methylbenzene,C9H12,5
HC-0058,Benzene,C6H6,5
HC-0059,Butylbenzene,C10H14,5
HC-0060,Cumene,C9H12,5
HC-0061,Cyclohexylbenzene,C12H16,3
HC-0062,Decylbenzene,C16H26,2
HC-0063,Ethylbenzene,C8H10,3
HC-0064,Indane,C9H10,4
HC-0065,Indene,C9H8,2
HC-0066,M-Cymene,C10H14,5
HC-0067,M-Xylene,C8H10,3
HC-0068,Mesitylene,C9H12,5
HC-0069,O-Xylene,C8H10,3
HC-0070,P-Cymene,C10H14,5
HC-0071,P-Xylene,C8H10,3
HC-0072,Propylbenzene,C9H12,5
HC-0073,Sec-Butylbenzene,C10H14,5
HC-0074,Tetralin,C10H12,1
HC-0075,Toluene,C7H8,3
HC-0076,1-Methylnaphthalene,C11H10,5
HC-0077,Diphenylmethane,C13H12,1
HC-0078,(9Z)-9-Octadecene,C18H36,3
HC-0079,1-Decene,C10H20,2
HC-0080,1-Heptene,C7H14,4
HC-0081,1-Hexene,C6H12,2
HC-0082,1-Nonene,C9H18,5
HC-0083,"2,4,7-trimethyloctane",C11H24,1
HC-0084,1-Undecene,C11H22,2
HC-0085,"2,4-Dimethyl-1-heptene",C9H18,5
HC-0086,"2,4-Dimethylpent-2-ene",C7H14,4
HC-0087,"2-Heptene, (2E)-",C7H14,4
HC-0088,"2-Heptene, (2Z)-",C7H14,4
HC-0089,"3-Heptene, (3Z)-",C7H14,4
HC-0090,"3-Undecene, (3E)-",C11H22,2
HC-0091,4-Nonene,C9H18,5
HC-0092,"4-Octene, (4E)-",C8H16,5
