model,target,property,unit,target_records,target_formula_groups,outer_fold,n_train,n_test,train_formula_groups,test_formula_groups,formula_overlap,r2,rmse,mae,best_inner_rmse,best_params,random_seed,fit_seconds,warning_count
XGBoost,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,1,240,60,60,13,0,0.8827221253109399,0.3897725560547425,0.14374806576864632,0.32975187530912237,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 0.85}",20260832,3.2504904000088573,0
XGBoost,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,2,240,60,58,15,0,0.9593651094248107,0.1675703494541844,0.11704342352123961,0.37024921060857946,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 200, ""subsample"": 0.85}",20260833,0.5062420000031125,0
XGBoost,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,3,240,60,58,15,0,0.8776046326406203,0.5006067693789633,0.3603662331148961,0.3280031709544768,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 500, ""subsample"": 0.85}",20260834,0.5801280000014231,0
XGBoost,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,4,240,60,58,15,0,0.9174956904203848,0.28037629981083523,0.1700526417077307,0.3272649547432623,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 500, ""subsample"": 0.85}",20260835,0.5236060000024736,0
XGBoost,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,5,240,60,58,15,0,0.9447475902437874,0.3346434459910245,0.21373278821854255,0.3538752459780075,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 500, ""subsample"": 0.85}",20260836,0.5683399999979883,0
RF,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,1,240,60,60,13,0,0.8855479742827104,0.38504807405433056,0.1390211943712231,0.3270404685813377,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 3}",20260842,5.9828401999984635,0
RF,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,2,240,60,58,15,0,0.9851513871143769,0.10129559751336688,0.06003380064530243,0.34870825151753904,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 3}",20260843,5.91117469999881,0
RF,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,3,240,60,58,15,0,0.8728264593013944,0.5102847732926123,0.2575457362015692,0.28612419271678385,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 1}",20260844,5.993832799998927,0
RF,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,4,240,60,58,15,0,0.9185578155667136,0.278565731613624,0.12301969552868262,0.31637154727158284,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 3}",20260845,5.861951600003522,0
RF,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,5,240,60,58,15,0,0.9391824261785765,0.35109226156126394,0.20359345954730776,0.3691971141219386,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 3}",20260846,5.834843599994201,0
SVR,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,1,240,60,60,13,0,0.8737707610362699,0.40437397345051057,0.1376108534097907,0.34628473638149054,"{""regressor__regressor__C"": 10.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": 0.1}",20260852,0.2066352999972878,0
SVR,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,2,240,60,58,15,0,0.9443469000453514,0.19610664423412558,0.125258568676256,0.39611181597874756,"{""regressor__regressor__C"": 10.0, ""regressor__regressor__epsilon"": 0.1, ""regressor__regressor__gamma"": ""scale""}",20260853,0.1379053999989992,0
SVR,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,3,240,60,58,15,0,0.9062984069342139,0.43801372100284003,0.28680076210552247,0.2923245199498672,"{""regressor__regressor__C"": 10.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": 0.1}",20260854,0.13613919999625068,0
SVR,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,4,240,60,58,15,0,0.8973462735909762,0.31274497641474885,0.11823370806429807,0.32370439566128756,"{""regressor__regressor__C"": 10.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": 0.1}",20260855,0.14264179999008775,0
SVR,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,5,240,60,58,15,0,0.9321014177433612,0.37096852637959277,0.1581061414568436,0.35498754445843517,"{""regressor__regressor__C"": 10.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": 0.1}",20260856,0.14524270000401884,0
ANN,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,1,240,60,60,13,0,0.8257881348230629,0.4750530150764632,0.18498694504664429,0.370075789556268,"{""regressor__regressor__activation"": ""relu"", ""regressor__regressor__alpha"": 0.01, ""regressor__regressor__hidden_layer_sizes"": [32, 16]}",20260862,14.20053000000189,0
ANN,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,2,240,60,58,15,0,0.9537240649009705,0.17882376307492773,0.11037816677444497,0.46860999753649896,"{""regressor__regressor__activation"": ""tanh"", ""regressor__regressor__alpha"": 0.01, ""regressor__regressor__hidden_layer_sizes"": [32, 16]}",20260863,19.263263200002257,0
ANN,Y01,Mass-based net heat of combustion,MJ kg−1,300,73,3,240,60,58,15,0,0.8471878185026507,0.5593623300819325,0.3702967014458539,0.3305236100365827,"{""regressor__regressor__activation"": ""relu"", ""regressor__regressor__alpha"": 0.01, ""regressor__regressor__hidden_layer_sizes"": [32, 16]}",20260864,17.739938200000324,0
