model,target,property,provenance_class,n,r2,rmse,mae
XGBoost,Y01,Mass-based net heat of combustion,formula-derived,203,0.9347512883944284,0.27567834733120394,0.15809478157457507
XGBoost,Y01,Mass-based net heat of combustion,source-supported,97,0.9217089114411219,0.47455564388051485,0.29075616989922265
RF,Y01,Mass-based net heat of combustion,formula-derived,203,0.9665015116154794,0.1975282841774196,0.0925785976592335
RF,Y01,Mass-based net heat of combustion,source-supported,97,0.8951105488667548,0.5492839174786093,0.29071523559609097
SVR,Y01,Mass-based net heat of combustion,formula-derived,203,0.9357352562142517,0.27359179984929527,0.13800985762645895
SVR,Y01,Mass-based net heat of combustion,source-supported,97,0.9191434795540369,0.4822680611128431,0.22210928788238624
ANN,Y01,Mass-based net heat of combustion,formula-derived,203,0.8673813403629491,0.39302393848078837,0.19571252233366643
ANN,Y01,Mass-based net heat of combustion,source-supported,97,0.9036306076962919,0.5265026206791135,0.2579357299334825
XGBoost,Y02,Volumetric net heat of combustion,constructed,300,0.7927128627977578,1.0090457322765711,0.7340899184539922
RF,Y02,Volumetric net heat of combustion,constructed,300,0.8132068308237294,0.9578669050375949,0.7036174987943851
SVR,Y02,Volumetric net heat of combustion,constructed,300,0.8415962132182822,0.8820789392581513,0.6249355612384464
ANN,Y02,Volumetric net heat of combustion,constructed,300,0.5375340767458346,1.5071779846318325,1.0287079453933572
XGBoost,Y03,Density,formula-derived,133,0.9135616910988094,0.019243744318683285,0.013685745945454027
XGBoost,Y03,Density,source-supported,167,0.8963323442260374,0.02564549197700799,0.018809553781383766
RF,Y03,Density,formula-derived,133,0.9247172328415206,0.017959086168074172,0.014296164144434671
RF,Y03,Density,source-supported,167,0.8683312128965411,0.02890219410380641,0.021807229343820827
SVR,Y03,Density,formula-derived,133,0.9203818744239975,0.01846895919005211,0.013189434261936295
SVR,Y03,Density,source-supported,167,0.9160936321018585,0.02307208573496293,0.01564192590445127
ANN,Y03,Density,formula-derived,133,0.8859049880197309,0.022109034447351298,0.016500850083926984
ANN,Y03,Density,source-supported,167,0.8815900727887857,0.02740838543238804,0.01902300120621506
XGBoost,Y04,Solid–liquid phase-transition temperature,formula-derived,126,0.7701818004349853,19.919307726522966,16.0977817775995
XGBoost,Y04,Solid–liquid phase-transition temperature,source-supported,174,0.7359135584477454,24.923410321166525,19.456309011441537
RF,Y04,Solid–liquid phase-transition temperature,formula-derived,126,0.7331516677090235,21.46417884896636,17.18717761259502
RF,Y04,Solid–liquid phase-transition temperature,source-supported,174,0.7162924864701083,25.832701988905008,20.553744240114614
SVR,Y04,Solid–liquid phase-transition temperature,formula-derived,126,0.7135408695083797,22.238903308941875,14.991983999795266
SVR,Y04,Solid–liquid phase-transition temperature,source-supported,174,0.7437035570765633,24.55306448789886,18.962996453085072
ANN,Y04,Solid–liquid phase-transition temperature,formula-derived,126,0.3638363457745072,33.14106484265095,22.097560650158165
ANN,Y04,Solid–liquid phase-transition temperature,source-supported,174,0.5569766689352583,32.28105458692012,23.816803898030596
XGBoost,Y05,Boiling point,formula-derived,109,0.9449735203482862,15.617033368240676,12.50899694880214
XGBoost,Y05,Boiling point,source-supported,191,0.9616116173668474,13.000282102964746,10.521482963841622
RF,Y05,Boiling point,formula-derived,109,0.9105217068437089,19.914596852526767,16.948875587784705
RF,Y05,Boiling point,source-supported,191,0.9347185637087746,16.95304518383236,13.404702226243023
SVR,Y05,Boiling point,formula-derived,109,0.975905044144149,10.334173318218408,7.453480776263474
SVR,Y05,Boiling point,source-supported,191,0.9755100387573967,10.383575329779035,7.116072286505953
ANN,Y05,Boiling point,formula-derived,109,0.9579804047670848,13.647044440689468,9.388698776099226
ANN,Y05,Boiling point,source-supported,191,0.967858911126224,11.895512614132807,8.20694015047632
XGBoost,Y06,Flash point,formula-derived,249,0.9472439557135846,10.651129305239236,8.489273037202445
XGBoost,Y06,Flash point,source-supported,51,0.9488065822086594,9.70858543624756,7.914491142610124
RF,Y06,Flash point,formula-derived,249,0.9296242695500264,12.30186630245218,10.115055008125589
RF,Y06,Flash point,source-supported,51,0.9551153601169361,9.090709228570958,7.64050659093711
SVR,Y06,Flash point,formula-derived,249,0.9759266680460551,7.194947796691531,5.069973328622695
SVR,Y06,Flash point,source-supported,51,0.925374457460631,11.721755141080946,8.580784807564443
ANN,Y06,Flash point,formula-derived,249,0.9597583993942672,9.302446225917926,5.9737892913344455
ANN,Y06,Flash point,source-supported,51,0.9076214806438617,13.041705614641675,9.358350198645407
XGBoost,Y07,Kinematic viscosity at 40 °C,formula-derived,214,0.8542932438096716,0.4982748349956296,0.26210257627913375
XGBoost,Y07,Kinematic viscosity at 40 °C,source-supported,86,0.8973374202791594,0.3239832846758723,0.20896236698128456
RF,Y07,Kinematic viscosity at 40 °C,formula-derived,214,0.8440397786305565,0.5155087374147416,0.2883695731884145
RF,Y07,Kinematic viscosity at 40 °C,source-supported,86,0.9078489039584283,0.30694938682371115,0.20641799761576296
SVR,Y07,Kinematic viscosity at 40 °C,formula-derived,214,0.8714814418382094,0.46796355486041724,0.20386020561278786
SVR,Y07,Kinematic viscosity at 40 °C,source-supported,86,0.9259181920072754,0.2752151290104378,0.16185412069990426
ANN,Y07,Kinematic viscosity at 40 °C,formula-derived,214,0.8312498628455146,0.536230085102817,0.3020626776883613
ANN,Y07,Kinematic viscosity at 40 °C,source-supported,86,0.9002179121440881,0.319405809548529,0.1853144043437753
