table,column,data_type,unit,description,allowed_values_or_rule,missing_value_policy
development.csv,record_id,string,,Stable curation record identifier.,,not allowed
development.csv,molecule_name,string,,Curated compound name; identity is anchored by structure fields.,,not allowed
development.csv,cas_rn,string,,CAS Registry Number where unambiguously resolved.,,allowed; see cas_status
development.csv,cas_status,categorical,,Reason/status for CAS availability.,reported | not available or not unambiguously resolved,not allowed
development.csv,pubchem_cid,integer,,PubChem compound identifier where available.,,allowed
development.csv,molecular_formula,string,,Molecular formula; also the grouped-CV blocking variable.,,not allowed
development.csv,inchikey,string,,Full InChIKey identity field.,,not allowed
development.csv,canonical_smiles,string,,Canonical SMILES used for descriptor audit.,,not allowed
development.csv,partition,categorical,,Locked data role.,development | internal_heldout_test,not allowed
development.csv,formula_group,string,,Molecular-formula grouping label used for GroupKFold.,,not allowed
development.csv,component_scope,categorical,,Mixture/single-component classification.,pure single-component molecule,not allowed
development.csv,elemental_scope,categorical,,Elemental class.,hydrocarbon (C/H only),not allowed
development.csv,mixture_flag,boolean,,True only for multicomponent records.,false for every release record,not allowed
development.csv,oxygenate_flag,boolean,,True only when oxygen is present.,false for every release record,not allowed
development.csv,aromaticity_class,categorical,,Derived from aromatic-carbon fraction.,aromatic | non-aromatic,not allowed
development.csv,structure_class,categorical,,Deterministic descriptor/SMILES-based structural class.,,not allowed
development.csv,density_screening_flag_ge_0_90_g_cm3,boolean,,Descriptive screening flag; not a chemical identity class.,Y03 >= 0.90 g cm^-3,not allowed
development.csv,X01,number,g mol^-1,RDKit Descriptors.MolWt average molecular mass.,,not allowed
development.csv,X02,number,1,Hydrogen atom count divided by carbon atom count.,,not allowed
development.csv,X03,number,0-1,Aromatic carbon atoms divided by all carbon atoms.,,not allowed
development.csv,X04,number,count,RDKit CalcNumRings.,,not allowed
development.csv,X05,number,count,Carbon atoms directly bonded to at least three carbon atoms.,,not allowed
development.csv,X06,number,1,"ln(1 + graph automorphism match count), ignoring stereochemistry.",,not allowed
development.csv,X07,number,1,RDKit Kier second-order shape index (Kappa2).,,not allowed
development.csv,Y01,number,MJ kg^-1,Mass-based net heat of combustion.,,not allowed
development.csv,Y02,number,MJ L^-1,Volumetric net heat of combustion.,,not allowed
development.csv,Y03,number,g cm^-3,Density.,,not allowed
development.csv,Y04,number,degC,Solid-liquid phase-transition temperature.,,not allowed
development.csv,Y05,number,degC,Boiling point.,,not allowed
development.csv,Y06,number,degC,Flash point.,,not allowed
development.csv,Y07,number,mm^2 s^-1,Kinematic viscosity at 40 degC.,,not allowed
development.csv,reference_map,string,,Per-variable mapping to entries in references.csv.,,not allowed
held_out_test.csv,record_id,string,,Stable curation record identifier.,,not allowed
held_out_test.csv,molecule_name,string,,Curated compound name; identity is anchored by structure fields.,,not allowed
held_out_test.csv,cas_rn,string,,CAS Registry Number where unambiguously resolved.,,allowed; see cas_status
held_out_test.csv,cas_status,categorical,,Reason/status for CAS availability.,reported | not available or not unambiguously resolved,not allowed
held_out_test.csv,pubchem_cid,integer,,PubChem compound identifier where available.,,allowed
held_out_test.csv,molecular_formula,string,,Molecular formula; also the grouped-CV blocking variable.,,not allowed
held_out_test.csv,inchikey,string,,Full InChIKey identity field.,,not allowed
held_out_test.csv,canonical_smiles,string,,Canonical SMILES used for descriptor audit.,,not allowed
held_out_test.csv,partition,categorical,,Locked data role.,development | internal_heldout_test,not allowed
