provenance_id,record_id,partition,molecule_name,inchikey,property_code,property_name,final_value,unit,value_origin_class,high_confidence_source_subset,reference_ids,primary_reference_id,source_category,publisher_or_host,doi,url,citation_or_web_title,value_basis,measurement_conditions_or_method_note,conditions_status,quality_grade,verification_note,provenance_reconstruction_basis
PV-00001,HC-0003,development,Bicyclohexyl,WVIIMZNLDWSIRH-UHFFFAOYSA-N,Y01,Mass-based net heat of combustion,42.728,MJ kg^-1,calculated from literature thermochemistry,True,REF-0013,REF-0013,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C92513&Units=SI&Mask=6,"Montgomery, Rossini, et al., 1978 Montgomery, R.L.; Rossini, F.D.; Mansson, M., Enthalpies of combustion, vaporization, and formation of phenylbenzene, cyclohexylbenzene, and cyclohexylcyclohexane; enthalpy of hydrogenation of certain aromatic systems, J. Chem. Eng. Data, 1978, 23, 125-129. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",NIST thermochemical net-basis derivation (L1_direct_delta_f_liquid_with_H2O_g): direct NIST liquid formation enthalpy + CODATA CO2(g)/H2O(g),Reaction: C12H22(l) + 17.5 O2(g) -> 12 CO2(g) + 11 H2O(g); calculation: C12H22(l) + 17.5 O2(g) -> 12 CO2(g) + 11 H2O(g); ΔcH° = 12×(-393.51) + 11×(-241.826) - (-276.4) kJ/mol. O2(g) standard-state formation enthalpy is 0 by convention. Central displayed values only; uncertainty not propagated.; source records: https://webbook.nist.gov/cgi/cbook.cgi?Source=1978MON%2FROS125-129&Units=SI&Mask=6 | https://webbook.nist.gov/cgi/cbook.cgi?ID=C92513&Units=SI&Mask=6 | https://webbook.nist.gov/cgi/cbook.cgi?Source=1984COX%2FWAG1B&Units=SI&Mask=1 | https://webbook.nist.gov/cgi/cbook.cgi?ID=C124389&Units=SI&Mask=1 | https://webbook.nist.gov/cgi/cbook.cgi?Source=1984COX%2FWAG1B&Units=SI&Mask=7 | https://webbook.nist.gov/cgi/cbook.cgi?ID=C7732185&Units=SI&Mask=7,reported,B,Identity matched by the NIST-displayed full InChIKey. First usable NIST display row in the highest available tier; central values only and uncertainty not propagated.,identity + property + reference matched to the audited prior provenance table
PV-00002,HC-0003,development,Bicyclohexyl,WVIIMZNLDWSIRH-UHFFFAOYSA-N,Y02,Volumetric net heat of combustion,37.86256264,MJ L^-1,constructed from Y01 and Y03,False,REF-0013/REF-0014,REF-0013,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C92513&Units=SI&Mask=6,"Montgomery, Rossini, et al., 1978 Montgomery, R.L.; Rossini, F.D.; Mansson, M., Enthalpies of combustion, vaporization, and formation of phenylbenzene, cyclohexylbenzene, and cyclohexylcyclohexane; enthalpy of hydrogenation of certain aromatic systems, J. Chem. Eng. Data, 1978, 23, 125-129. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",Y02 = Y01 x Y03 using the two release-table values,Not applicable; algebraically constructed endpoint.,not applicable,constructed,,reference registry mapping only
PV-00003,HC-0003,development,Bicyclohexyl,WVIIMZNLDWSIRH-UHFFFAOYSA-N,Y03,Density,0.88613,g cm^-3,experimental measurement,True,REF-0014,REF-0014,NIST ThermoML experimental,journal publisher / NIST ThermoML,10.1021/acs.jced.5b00790,https://doi.org/10.1021/acs.jced.5b00790,"Prak, D. J. L.[Dianne J. Luning]; Cowart, J. S.[Jim S.]; Trulove, P. C.[Paul C.] (2016). Density and Viscosity from 293.15 to 373.15 K, Speed of Sound and Bulk Modulus from 293.15 to 343.15 K, Surface Tension, and Flash Point of Binary Mixtures of Bicyclohexyl and 1,2,3,4-Tetrahydronaphthalene or Trans-decahydronaphthalene at 0.1 MPa. J. Chem. Eng. Data 61, 650-661. https://doi.org/10.1021/acs.jced.5b00790",direct at 20 C (within 0.5 K),Vibrating tube method; T=293.15 K; p=101.325 kPa,reported,A,Pure-component experimental density selected by InChIKey; no formula-only identity match.,identity + property + reference matched to the audited prior provenance table
PV-00004,HC-0003,development,Bicyclohexyl,WVIIMZNLDWSIRH-UHFFFAOYSA-N,Y04,Solid-liquid phase-transition temperature,3.75,degC,evaluated or compiled literature value,True,REF-0015,REF-0015,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C92513&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated fusion temperature: Average of 11 values; Individual data points,NIST fusion/melting temperature,Record type: fusion_temperature; method: AVG; comment: Average of 11 values; Individual data points,reported,A,Identity matched by the NIST-displayed full InChIKey; first NIST-listed target value selected deterministically.,identity + property + reference matched to the audited prior provenance table
PV-00005,HC-0003,development,Bicyclohexyl,WVIIMZNLDWSIRH-UHFFFAOYSA-N,Y05,Boiling point,234.85,degC,evaluated or compiled literature value,True,REF-0016,REF-0016,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C92513&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated normal boiling point: Average of 8 values; Individual data points,NIST normal boiling point,Record type: normal_boiling_point; method: AVG; comment: Average of 8 values; Individual data points,reported,A,Identity matched by the NIST-displayed full InChIKey; first NIST-listed target value selected deterministically.,identity + property + reference matched to the audited prior provenance table
PV-00006,HC-0003,development,Bicyclohexyl,WVIIMZNLDWSIRH-UHFFFAOYSA-N,Y06,Flash point,88.7,degC,formula or correlation estimate,False,REF-0481,REF-0481,peer-reviewed method,Elsevier,10.1016/S0009-2509(03)00251-3,https://doi.org/10.1016/S0009-2509(03)00251-3,"Albahri, T. A. Flammability characteristics of pure hydrocarbons. Chemical Engineering Science 58 (2003) 3629–3641.",Albahri (2003) boiling-point correlation,Estimated from boiling-point information; not a flash-point measurement.,not applicable,D,,reference registry mapping only
PV-00007,HC-0003,development,Bicyclohexyl,WVIIMZNLDWSIRH-UHFFFAOYSA-N,Y07,Kinematic viscosity at 40 degC,2.9175,mm^2 s^-1,source database value; measurement status not resolved,False,REF-0479,REF-0479,open-source research database,Energy Conversion Research Laboratory / GitHub,,https://raw.githubusercontent.com/ecrl/ecnet/refs/heads/master/databases/properties_master.csv,ECNet properties_master.csv — curated chemical-property table.,Curated source-table value standardized to 40 degC,Reference temperature: 40 degC (313.15 K). Original record-level method was not retained.,partly reported,not reassessed,,reference registry mapping only
PV-00008,HC-0005,development,Pinane,XOKSLPVRUOBDEW-UHFFFAOYSA-N,Y01,Mass-based net heat of combustion,42.943,MJ kg^-1,calculated from literature thermochemistry,True,REF-0021,REF-0021,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C473552&Units=SI&Mask=6,"Gollis, Belenyessy, et al., 1962 Gollis, M.H.; Belenyessy, L.I.; Gudzinowicz, B.J.; Koch, S.D.; Smith, J.O.; Wineman, R.J., Evaluation of pure hydrocarbons as jet fuels, J. Chem. Eng. Data, 1962, 7, 331-316. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",NIST thermochemical net-basis derivation (L2_direct_HHV_converted_to_LHV): direct NIST liquid combustion enthalpy converted from H2O(l) to H2O(g),Reaction: HHV (H2O(l) products) converted to LHV (H2O(g) products); calculation: ΔcH°LHV = ΔcH°HHV + (18/2)×[ΔfH°H2O(g) - ΔfH°H2O(l)] = -6332.9 + 9×(-241.826 - -285.83) kJ/mol. Central displayed values only; uncertainty not propagated.; source records: https://webbook.nist.gov/cgi/cbook.cgi?Source=1962GOL%2FBEL331-316&Units=SI&Mask=6 | https://webbook.nist.gov/cgi/cbook.cgi?ID=C473552&Units=SI&Mask=6 | https://webbook.nist.gov/cgi/cbook.cgi?Source=1984COX%2FWAG1B&Units=SI&Mask=7 | https://webbook.nist.gov/cgi/cbook.cgi?ID=C7732185&Units=SI&Mask=7,reported,B,Identity matched by the NIST-displayed full InChIKey. First usable NIST display row in the highest available tier; central values only and uncertainty not propagated.,identity + property + reference matched to the audited prior provenance table
PV-00009,HC-0005,development,Pinane,XOKSLPVRUOBDEW-UHFFFAOYSA-N,Y02,Volumetric net heat of combustion,36.3598381,MJ L^-1,constructed from Y01 and Y03,False,REF-0021/REF-0022,REF-0021,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C473552&Units=SI&Mask=6,"Gollis, Belenyessy, et al., 1962 Gollis, M.H.; Belenyessy, L.I.; Gudzinowicz, B.J.; Koch, S.D.; Smith, J.O.; Wineman, R.J., Evaluation of pure hydrocarbons as jet fuels, J. Chem. Eng. Data, 1962, 7, 331-316. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",Y02 = Y01 x Y03 using the two release-table values,Not applicable; algebraically constructed endpoint.,not applicable,constructed,,reference registry mapping only
PV-00010,HC-0005,development,Pinane,XOKSLPVRUOBDEW-UHFFFAOYSA-N,Y03,Density,0.8467,g cm^-3,source-reported experimental value,True,REF-0022,REF-0022,PubChem source-linked experimental annotation,cameochemicals.noaa.gov,,https://cameochemicals.noaa.gov/chemical/20927,CAMEO Chemicals,temperature 70 °F,"0.8467 at 70 °F (NTP, 1992) - Less dense than water; will float",reported,B,Numeric value and identity retained from PubChem PUG-View; source URL preserved verbatim.,identity + property + reference matched to the audited prior provenance table
PV-00011,HC-0005,development,Pinane,XOKSLPVRUOBDEW-UHFFFAOYSA-N,Y04,Solid-liquid phase-transition temperature,-53.15,degC,evaluated or compiled literature value,True,REF-0023,REF-0023,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C473552&Units=SI&Mask=6,"Timmermans, 1952 Timmermans, J., solid–liquid phase-transitions of organic compounds. VVI New determinations., Bull. Soc. Chim. Belg., 1952, 61, 393. [all data]",NIST fusion/melting temperature,Record type: fusion_temperature; method: N/A; comment: Uncertainty assigned by TRC = 1. K,reported,A,Identity matched by the NIST-displayed full InChIKey; first NIST-listed target value selected deterministically.,identity + property + reference matched to the audited prior provenance table
