reference_id,citation_or_web_title,doi,url,source_category,publisher_or_host,access_or_license_note
REF-0001,"Williams, D. L.; Gilpin, T. R.; White, V. L. Simple QSPR for Calculating Combustion Metrics by Hand. Industrial & Engineering Chemistry Research 2026, 65(20), 10236–10248. https://doi.org/10.1021/acs.iecr.5c05262.",10.1021/acs.iecr.5c05262,https://doi.org/10.1021/acs.iecr.5c05262,peer-reviewed method,American Chemical Society,CC BY-NC-ND 4.0 article; formula coefficients used as published.
REF-0002,"Joback, K. G.; Reid, R. C. Estimation of Pure-Component Properties from Group-Contributions. Chemical Engineering Communications 1987, 57(1–6), 233–243. https://doi.org/10.1080/00986448708960487.",10.1080/00986448708960487,https://doi.org/10.1080/00986448708960487,peer-reviewed method,Taylor & Francis,Published group-contribution method; fallback predictions are labelled.
REF-0004,"Co-Optima Co-Optimizer Fuel Engine Co Optimization-2.csv, commit fe0342ab50c2bbe1ce707a2fec049f709e0894f2.",,https://github.com/NatLabRockies/cooptima-co-optimizer/blob/fe0342ab50c2bbe1ce707a2fec049f709e0894f2/Fuel%20Engine%20Co%20Optimization-2.csv,official government-laboratory dataset export,NREL/LBNL,Repository license permits redistribution with attribution; original measured/predicted flag retained.
REF-0005,"Rossini, Frederick D.; Pitzer, Kenneth S.; Taylor, William J.; Ebert, Joan P.; Kilpatrick, John E.; Beckett, Charles W.; Williams, Mary G.; Werner, Helene G. Selected Values of Properties of Hydrocarbons. Circular of the National Bureau of Standards 461. National Bureau of Standards, U.S. Government Printing Office, Washington, DC (1947). https://doi.org/10.6028/NBS.CIRC.461.",10.6028/NBS.CIRC.461,https://doi.org/10.6028/NBS.CIRC.461,authoritative evaluated government compilation,National Bureau of Standards / U.S. Government Printing Office,U.S. federal-government publication. Liquid-phase LHV rows at 25 °C were transcribed conservatively; the original PDF page and table row are retained per value.
REF-0006,"Rockenfeller and Rossini, 1961 Rockenfeller, J.D.; Rossini, F.D., Heats of combustion, isomerization, and formation of selected C7, C8, and C10 monoolefin hydrocarbons, J. Phys. Chem., 1961, 65, 267-272. [all data] | Cox and Pilcher, 1970 Cox, J.D.; Pilcher, G., Thermochemistry of Organic and Organometallic Compounds, Academic Press, New York, 1970, 1-636. [all data] | Cox, Wagman, et al., 1984 Cox, J.D.; Wagman, D.D.; Medvedev, V.A., CODATA Key Values for Thermodynamics, Hemisphere Publishing Corp., New York, 1984, 1. [all data]",,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111660&Units=SI&Mask=6,NIST Chemistry WebBook thermochemistry + explicit Hess-law derivation,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0007,"Ahosseini, A.[Azita]; Sensenich, B.[Brent]; Weatherley, L. R.[Laurence R.]; Scurto, A. M.[Aaron M.] (2010). Phase Equilibrium, Volumetric, and Interfacial Properties of the Ionic Liquid, 1-Hexyl-3-methylimidazolium Bis(trifluoromethylsulfonyl)amide and 1-Octene. J. Chem. Eng. Data 55, 1611-1617. https://doi.org/10.1021/je900697w",10.1021/je900697w,https://doi.org/10.1021/je900697w,NIST ThermoML experimental,journal publisher / NIST ThermoML,Article metadata and pure-property data accessed through NIST ThermoML.
REF-0008,NIST Chemistry WebBook evaluated fusion temperature: Average of 10 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111660&Units=SI&Type=TFREEZE,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0009,NIST Chemistry WebBook evaluated normal boiling point: Average of 60 out of 61 values; Individual data points,,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111660&Units=SI&Type=TBOIL,NIST Chemistry WebBook evaluated/compiled value,webbook.nist.gov,Source-specific property URL and source label retained from the selected database annotation.
REF-0010,"Kim, Y.[Younghun]; Pokki, J. -P.[Juha-Pekka]; Rehak, K.[Karel]; Matous, J.[Jaroslav]; Aittamaa, J.[Juhani] (2004). Excess Enthalpy and Vapor-Liquid Equilibrium at Atmospheric Pressure for the Binary Systems 2-Methyl-2-propanol + 2,4,4-Trimethyl-1-pentene and 2-Butanol + 2,4,4-Trimethyl-1-pentene. J. Chem. Eng. Data 49, 246-250. https://doi.org/10.1021/je0340912",10.1021/je0340912,https://doi.org/10.1021/je0340912,NIST ThermoML experimental,journal publisher / NIST ThermoML,Article metadata and pure-property data accessed through NIST ThermoML.
REF-0011,Hazardous Substances Data Bank (HSDB),,https://pubchem.ncbi.nlm.nih.gov/source/hsdb/1442,PubChem source-linked experimental annotation,pubchem.ncbi.nlm.nih.gov,Source-specific property URL and source label retained from the selected database annotation.
