legacy_sheet,legacy_row,legacy_name,legacy_formula,legacy_smiles,legacy_inchikey,Y02,current_index,record_id,molecule_name,molecular_formula,match_method,status,release_partition,source_claim_boundary
Training set (n=213),2,Benzvalene (fuel 33),C6H6,C1=CC2C3C1C23,VMQPMGHYRISRHO-UHFFFAOYSA-N,37.1,287.0,HC-0298,"Tricyclo(3.1.0.02,6)hex-3-ene",C6H6,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),4,Norbornene,C7H10,C12C=CC(CC1)C2,JFNLZVQOOSMTJK-UHFFFAOYSA-N,37.6,253.0,HC-0264,Norbornene,C7H10,formula + normalized name,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),5,[2.2.1]Propellane,C7H10,C12C3CC(CC31)C2,BYBGSCXPMGPLFP-UHFFFAOYSA-N,40.0,241.0,HC-0252,"Tricyclo(2.2.1.02,6)heptane",C7H10,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),6,"Tricyclo[4.1.0.0^{2,4}]heptane",C7H10,C12C3CC3CC2C1,XIIJQOYMVIJNEP-UHFFFAOYSA-N,37.62,242.0,HC-0253,"Tricyclo(4.1.0.02,4)-heptane",C7H10,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),9,"1,1'-Bicyclobutyl (fuel 29)",C8H14,C1(CCC1)C1CCC1,DENCHDMOLAALHN-UHFFFAOYSA-N,38.76,251.0,HC-0262,"1,1'-Bicyclobutyl",C8H14,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),10,Octahydropentalene,C8H14,C1CCC2CCCC12,AEBWATHAIVJLTA-UHFFFAOYSA-N,37.3,254.0,HC-0265,Octahydropentalene,C8H14,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),11,1H-Indene,C9H8,C1C=CC2=CC=CC=C12,YBYIRNPNPLQARY-UHFFFAOYSA-N,39.76,57.0,HC-0065,Indene,C9H8,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),12,"Indane (2,3-dihydro-1H-indene)",C9H10,C1CCC2=CC=CC=C12,PQNFLJBBNBOBRQ-UHFFFAOYSA-N,38.89,56.0,HC-0064,Indane,C9H10,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),13,"Tetracyclo[4.3.0.0^{2,5}.0^{7,9}]nonane (fuel 10)",C9H12,C12C3CCC3C2C2CC21,HZODDRZGWJTLIY-UHFFFAOYSA-N,45.29,286.0,HC-0297,"Tetracyclo[4.3.0.02,5.07,9]nonane",C9H12,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
Training set (n=213),15,cis-Octahydro-1H-indene (cis-hydrindane),C9H16,C1CC[C@@H]2CCCC[C@H]12,BNRNAKTVFSZAFA-DTORHVGOSA-N,37.92,108.0,HC-0117,"rel-(3aR,7aS)-Octahydro-1H-indene",C9H16,full InChIKey + formula,retained for direct Y02 fitting,development,"Independently collected relative to the current Y01 and Y03 release columns; row-level direct experimental status, primary source, and measurement conditions remain unresolved unless explicitly documented in the reconciliation table."
