record_id,partition,Y01,Y03,Y02_physical_baseline,Y02_independent_response,independent_minus_baseline
HC-0003,development,42.728,0.88613,37.86256264,38.11,0.24743735999999927
HC-0005,development,42.943,0.8467,36.3598381,37.2,0.8401619000000053
HC-0006,development,42.88,0.8633,37.018304,,
HC-0008,development,44.343,0.69189,30.680478270000002,30.8,0.11952172999999888
HC-0009,development,44.182,0.7072,31.245510400000004,31.42,0.17448959999999758
HC-0010,development,44.567,0.64925,28.93512475,,
HC-0011,development,44.641,0.66158,29.533592779999996,,
HC-0012,development,44.363,0.70057,31.07938691,,
HC-0013,development,44.452,0.6728,29.907305599999997,31.0,1.0926944000000027
HC-0014,development,44.379,0.6917,30.696954299999998,31.1,0.4030457000000034
HC-0015,development,44.504,0.68,30.26272,31.2,0.9372799999999977
HC-0016,development,44.176,0.7271,32.1203696,32.3,0.17963040000000063
HC-0017,development,44.671,0.65328,29.18267088,29.3,0.11732912000000084
HC-0018,development,44.402,0.70637,31.364240740000003,31.52,0.1557592599999964
HC-0019,development,44.529,0.684,30.457836000000004,,
HC-0020,development,44.699,0.66423,29.69041677,,
HC-0021,development,44.0001791277757,0.750278391091485,33.01238360372469,,
HC-0023,development,44.112,0.753,33.216336,33.2,-0.016335999999995465
HC-0024,development,43.858,0.7886,34.5864188,34.76,0.173581200000001
HC-0025,development,43.927,0.77102,33.86859554,34.31,0.4414044600000011
HC-0026,development,44.558,0.67946,30.27537868,30.66,0.3846213200000008
HC-0027,development,43.945,0.773,33.969485,34.14,0.17051500000000175
HC-0028,development,44.736,0.66,29.52576,29.6,0.07424000000000319
HC-0029,development,43.879,0.7855,34.4669545,34.57,0.10304550000000035
HC-0030,development,44.327,0.718,31.826786,31.99,0.16321399999999997
HC-0031,development,43.901,0.7768,34.102296800000005,34.45,0.347703199999998
HC-0032,development,44.422,0.708,31.450775999999998,31.39,-0.060775999999997055
HC-0033,development,43.985,0.7685,33.8024725,33.94,0.13752749999999736
HC-0034,development,44.0001791277757,0.750278391091485,33.01238360372469,,
HC-0035,development,44.021,0.767,33.764107,33.74,-0.024107000000000767
HC-0036,development,44.063,0.7564,33.3292532,33.48,0.1507468000000003
HC-0037,development,44.165,0.74035,32.697557749999994,32.86,0.16244225000000512
HC-0038,development,43.419,0.79947,34.71218793,34.87,0.15781206999999853
HC-0039,development,43.702,0.8098,35.3898796,36.1,0.710120400000001
HC-0040,development,43.421,0.778,33.781538,36.33,2.5484620000000007
HC-0041,development,43.786,0.83147,36.40674542,36.5,0.09325457999999998
HC-0042,development,43.789,0.7457,32.6534573,33.2,0.5465427000000034
HC-0043,development,43.431,0.81855,35.55044505,35.7,0.1495549500000024
HC-0044,development,43.443,0.82231,35.72361333,35.87,0.14638666999999828
HC-0045,development,43.397,0.78802,34.197703940000004,34.38,0.18229605999999876
HC-0046,development,43.63,0.761,33.20243,34.0,0.7975700000000003
HC-0047,development,43.359,0.81099,35.16371541,35.37,0.20628458999999566
HC-0049,development,43.358,0.76935,33.3574773,33.55,0.19252269999999783
HC-0050,development,43.659,0.74664,32.59755576,33.4,0.8024442399999998
HC-0051,development,43.791,0.81414,35.652004739999995,35.51,-0.1420047399999973
HC-0052,development,43.414,0.79,34.29706,34.62,0.32293999999999556
HC-0054,development,41.025,0.87578,35.9288745,36.09,0.16112550000000425
HC-0055,development,41.388,0.862,35.676455999999995,36.95,1.2735440000000082
HC-0056,development,41.151,0.88066,36.24003966,36.42,0.17996034000000094
HC-0057,development,41.123,0.86107,35.409781609999996,35.62,0.21021839000000142
HC-0058,development,40.142,0.877,35.204534,35.5,0.29546599999999756
HC-0059,development,41.462,0.86017,35.664368540000005,35.83,0.16563145999999307
HC-0060,development,41.195,0.86412,35.5974234,35.69,0.09257660000000101
HC-0061,development,41.045,0.94,38.5823,41.0,2.4177000000000035
HC-0062,development,42.224,0.8558,36.1352992,36.28,0.14470080000000252
HC-0063,development,40.924,0.9012,36.8807088,35.66,-1.2207088000000041
HC-0064,development,40.299,0.963,38.807936999999995,38.89,0.0820630000000051
HC-0065,development,39.768,0.9968,39.6407424,39.76,0.11925759999999741
HC-0066,development,41.344,0.861,35.597184,35.76,0.1628159999999994
HC-0067,development,40.803,0.85978,35.081603339999994,35.43,0.3483966600000059
HC-0068,development,41.01,0.86103,35.310840299999995,34.9,-0.4108402999999967
HC-0069,development,40.812,0.8759,35.7472308,36.07,0.3227692000000033
HC-0070,development,41.35,0.8532,35.27982,34.8,-0.4798200000000037
HC-0071,development,40.812,0.85668,34.96282416,34.7,-0.26282415999999387
HC-0072,development,41.219,0.86272,35.560455680000004,35.71,0.14954431999999684
HC-0073,development,41.439,0.86195,35.71834605,35.89,0.1716539499999996
HC-0074,development,40.525,0.9688,39.260619999999996,39.43,0.16938000000000386
HC-0075,development,40.525,0.86682,35.1278805,35.32,0.1921194999999969
HC-0076,development,39.339,1.02,40.12578,40.29,0.16422000000000025
HC-0077,development,39.61,1.008,39.92688,39.7,-0.2268799999999942
HC-0078,development,43.423,0.782,33.956786,,
HC-0079,development,43.423,0.741,32.176443,,
HC-0080,development,43.423,0.697,30.265831,,
HC-0081,development,43.423,0.67323,29.233666290000002,,
HC-0082,development,43.423,0.7433,32.2763159,,
HC-0083,development,44.0001791277757,0.750278391091485,33.01238360372469,,
HC-0084,development,43.423,0.7503,32.5802769,,
HC-0085,development,43.423,0.732,31.785636,,
HC-0086,development,43.423,0.7123,30.930202900000005,,
HC-0087,development,43.423,0.713,30.960599,,
HC-0088,development,43.423,0.705,30.613215,,
HC-0089,development,43.423,0.713,30.960599,,
HC-0090,development,43.423,0.7516,32.636726800000005,,
HC-0091,development,43.423,0.732,31.785636,,
HC-0092,development,43.423,0.7165,31.112579500000002,,
HC-0093,development,43.423,0.7186,31.2037678,,
HC-0094,development,43.423,0.757,32.871211,,
HC-0095,development,43.423,0.7537,32.727915100000004,,
HC-0096,development,43.952682869555,0.757234941098022,33.28250722382752,,
HC-0097,development,44.0001791277757,0.750278391091485,33.01238360372469,,
HC-0098,development,43.423,0.713,30.960599,,
HC-0099,development,43.423,0.6779,29.4364517,,
HC-0100,development,42.1,0.776,32.6696,,
HC-0101,development,42.1,0.776,32.6696,,
HC-0102,development,42.1,0.877,36.9217,,
HC-0104,development,42.1,0.794,33.427400000000006,,
HC-0105,development,44.0001791277757,0.750278391091485,33.01238360372469,,
HC-0106,development,42.1,0.89,37.469,,
HC-0107,development,40.004,0.81333,32.53645332,37.67,5.133546680000002
HC-0108,development,42.1,0.8638,36.36598,,
HC-0109,development,42.1,0.85469,35.982449,,
HC-0110,development,42.1,0.86799,36.542379000000004,,
HC-0111,development,42.1,0.9239,38.896190000000004,,
HC-0112,development,44.0001791277757,0.750278391091485,33.01238360372469,,
HC-0113,development,42.991,0.8887,38.206101700000005,,
HC-0114,development,44.0001791277757,0.750278391091485,33.01238360372469,,
HC-0115,development,42.771,0.8381,35.846375099999996,,
HC-0116,development,42.909,0.80133,34.38426897,37.0,2.615731029999999
HC-0117,development,42.688,0.79674,34.011237120000004,37.92,3.9087628799999976
HC-0118,development,42.771,0.8171,34.948184100000006,35.05,0.10181589999999119
HC-0119,development,42.1,0.89,37.469,,
HC-0120,development,44.213,0.823,36.387299,,
HC-0121,development,44.269,0.73241,32.42305829,31.3,-1.1230582899999995
HC-0122,development,43.953,0.74521,32.754215130000006,32.7,-0.05421513000000289
HC-0123,development,44.392,0.72066,31.99153872,32.4,0.4084612799999974
HC-0124,development,44.0,0.739,32.516,,
HC-0125,development,44.126,0.7203,31.7839578,,
