target,model,params,mean_test_rmse,std_test_score,rank_test_score,random_seed
Y01,RF,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",0.3655384215417651,0.103513313205591,5,20269831
Y01,RF,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3}",0.3757844434307488,0.10726221667217706,7,20269831
Y01,RF,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1}",0.32453288770864497,0.13873676697413262,3,20269831
Y01,RF,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 3}",0.316332478253153,0.12552274095198124,2,20269831
Y01,RF,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",0.3665447662525186,0.10317306918537231,6,20269831
Y01,RF,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3}",0.3775827895466671,0.10565775513424791,8,20269831
Y01,RF,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 1}",0.32498043700780854,0.13898413941410417,4,20269831
Y01,RF,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 3}",0.31626077725283486,0.12533415985416776,1,20269831
Y03,SVR,"{""regressor__regressor__C"": 1.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": ""scale""}",0.02194607105450012,0.005540094722815282,7,20269832
Y03,SVR,"{""regressor__regressor__C"": 1.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": 0.1}",0.021595922410807395,0.005588253710115092,4,20269832
Y03,SVR,"{""regressor__regressor__C"": 1.0, ""regressor__regressor__epsilon"": 0.1, ""regressor__regressor__gamma"": ""scale""}",0.02165904144196023,0.005382046353430952,5,20269832
Y03,SVR,"{""regressor__regressor__C"": 1.0, ""regressor__regressor__epsilon"": 0.1, ""regressor__regressor__gamma"": 0.1}",0.021457903624544687,0.005323061531336621,3,20269832
Y03,SVR,"{""regressor__regressor__C"": 10.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": ""scale""}",0.021976015285850192,0.0034592774306011626,8,20269832
Y03,SVR,"{""regressor__regressor__C"": 10.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": 0.1}",0.020688871152942274,0.0035086362058085537,2,20269832
Y03,SVR,"{""regressor__regressor__C"": 10.0, ""regressor__regressor__epsilon"": 0.1, ""regressor__regressor__gamma"": ""scale""}",0.021754009653148783,0.003939820679725955,6,20269832
Y03,SVR,"{""regressor__regressor__C"": 10.0, ""regressor__regressor__epsilon"": 0.1, ""regressor__regressor__gamma"": 0.1}",0.02002690473783406,0.003912473236614421,1,20269832
Y03,SVR,"{""regressor__regressor__C"": 100.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": ""scale""}",0.02879841802819107,0.0066423207337831126,12,20269832
Y03,SVR,"{""regressor__regressor__C"": 100.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": 0.1}",0.025541131098862517,0.005733689920772924,10,20269832
Y03,SVR,"{""regressor__regressor__C"": 100.0, ""regressor__regressor__epsilon"": 0.1, ""regressor__regressor__gamma"": ""scale""}",0.02718183735844837,0.005575735884725212,11,20269832
Y03,SVR,"{""regressor__regressor__C"": 100.0, ""regressor__regressor__epsilon"": 0.1, ""regressor__regressor__gamma"": 0.1}",0.024142311005657207,0.00517578240337546,9,20269832
Y04,XGBoost,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 500, ""subsample"": 0.85}",23.65578904113957,2.787262237975126,6,20269833
Y04,XGBoost,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 500, ""subsample"": 0.85}",23.815905704736423,2.7108156303398596,8,20269833
Y04,XGBoost,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 500, ""subsample"": 0.85}",23.165569540550603,2.692403951068802,2,20269833
Y04,XGBoost,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 500, ""subsample"": 0.85}",23.390433750928352,2.757717733073349,5,20269833
Y04,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 0.85}",23.34539645064978,2.4920183679533574,4,20269833
Y04,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""subsample"": 0.85}",23.714685897213013,2.5298918401111696,7,20269833
Y04,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 0.85}",23.07250520347349,2.6862864177745327,1,20269833
Y04,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 200, ""subsample"": 0.85}",23.213144148233333,2.819092986214852,3,20269833
Y05,SVR,"{""regressor__regressor__C"": 1.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": ""scale""}",14.218578268052756,4.062871235479667,10,20269834
Y05,SVR,"{""regressor__regressor__C"": 1.0, ""regressor__regressor__epsilon"": 0.05, ""regressor__regressor__gamma"": 0.1}",13.515615875626759,3.614841847887241,9,20269834
Y05,SVR,"{""regressor__regressor__C"": 1.0, ""regressor__regressor__epsilon"": 0.1, ""regressor__regressor__gamma"": ""scale""}",14.950341908315085,4.422337176543502,12,20269834
